First Name,Last Name,Age,Nationality,Height,Weight,Team Name,League,Appearances,Lineups,Minutes,Number,Position,Rating,Captain,In,Out,Bench,Total Shots,On Target Shots,Total Goals,Conceded Goals,Assists,Saves,Total Passes,Key Passes,Pass Accuracy,Total Tackles,Blocks,Interceptions,Total Duels,Duels Won,Dribble Attempts,Dribble Success,Past Dribbles,Fouls Drawn,Fouls Committed,Yellow Cards,Red Cards,Penalties Won,Penalties Committed,Penalties Scored,Penalties Missed,Penalties Saved
Benjamin,Mendy,28.0,France,185 cm,85 kg,Manchester City,Premier League,,,,,Defender,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabian,Delph,33.0,England,174 cm,60 kg,Everton,Premier League,,,,,Midfielder,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee,Grant,39.0,England,193 cm,83 kg,Manchester United,Premier League,,,,,Goalkeeper,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary,Cahill,37.0,England,193 cm,86 kg,Bournemouth,Premier League,,,,,Defender,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Noel,Drinkwater,32.0,England,178 cm,79 kg,Chelsea,Premier League,,,,,Midfielder,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark,Noble,35.0,England,180 cm,70 kg,West Ham,Premier League,,,,,Midfielder,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finley Jack,Burns,19.0,England,185 cm,,Manchester City,Premier League,,,,,Defender,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lars,Dendoncker,21.0,Belgium,188 cm,,Brighton,Premier League,,,,,Defender,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arjan,Singh Raikhy,20.0,England,,,Aston Villa,Premier League,,,,,Midfielder,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvey,Blair,19.0,England,,,Liverpool,Premier League,,,,,Attacker,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maliq Anthony,Cadogan,18.0,England,,,Crystal Palace,Premier League,,,,,Midfielder,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James,Storer,,England,,,Wolves,Premier League,,,,,Goalkeeper,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua,Keeley,19.0,Republic of Ireland,,,Tottenham,Premier League,,,,,Goalkeeper,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jadan,Raymond,19.0,England,,,Crystal Palace,Premier League,,,,,Midfielder,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe,Sheridan,19.0,England,,,Crystal Palace,Premier League,,,,,Defender,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas,Wilson-Brown,18.0,England,,,Leicester,Premier League,,,,,Defender,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler,Fredricson,17.0,England,,,Manchester United,Premier League,,,,,Defender,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew,Vigor,18.0,England,,,Crystal Palace,Premier League,,,,,Midfielder,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarik,Gidaree,19.0,England,,,Bournemouth,Premier League,,,,,Defender,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua,Addae,,England,,,Crystal Palace,Premier League,,,,,Defender,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dion Joseph,Rankine,21.0,England,"
    ","
    ",Chelsea,Premier League,,,,,Midfielder,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcelo,de Araújo Pitaluga Filho,20.0,Brazil,191 cm,75 kg,Liverpool,Premier League,,,,,Goalkeeper,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Royston,Brooking,21.0,England,,,Chelsea,Premier League,,,,,Defender,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn David Anthony,Genesini,22.0,England,,,Bournemouth,Premier League,,,,,Defender,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Thomas,Christy,20.0,England,,,Leeds,Premier League,0.0,0.0,0.0,,Goalkeeper,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,
Jeremiah,Chukwuedo Chilokoa-Mullen,19.0,Scotland,,,Leeds,Premier League,0.0,0.0,0.0,,Defender,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,
Tristan Danique,van den Heuvel,20.0,Netherlands,,,Leeds,Premier League,0.0,0.0,0.0,,Goalkeeper,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,
Dominic,Corness,19.0,England,,,Liverpool,Premier League,,,,,Midfielder,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
